step,sharpness
0,24.168328
96,25.936440
192,27.532865
288,28.739715
384,28.451741
480,30.819085
576,32.910577
672,34.858743
768,36.047182
864,36.943641
960,37.285907
1056,37.640891
1152,38.035475
1248,39.249767
1344,39.221355
1440,40.170243
1536,40.512142
1632,40.368588
1728,40.822685
1824,40.628201
1920,40.112371
2016,40.055577
2112,40.018745
