step,sharpness
0,26.890657
96,27.679464
192,27.690496
288,29.198878
384,29.864222
480,31.938708
576,34.268865
672,36.092884
768,37.393557
864,38.139907
960,38.754015
1056,38.900704
1152,39.082421
1248,39.194767
1344,39.690445
1440,40.414634
1536,40.905752
1632,41.311587
1728,41.212437
1824,40.965721
1920,40.277071
2016,40.082946
2112,40.066639
