step,sharpness
0,22.400216
96,22.882684
192,23.603308
288,24.675242
384,25.007126
480,26.201657
576,28.048481
672,30.071752
768,32.245776
864,33.973759
960,36.804746
1056,38.375800
1152,39.543397
1248,39.370889
1344,39.391757
1440,39.369269
1536,39.234711
1632,39.761984
1728,40.442003
1824,41.100336
1920,41.129861
2016,40.757356
2112,40.411997
