Flags,IntendedVsync,Vsync,OldestInputEvent,NewestInputEvent,HandleInputStart,AnimationStart,PerformTraversalsStart,DrawStart,SyncQueued,SyncStart,IssueDrawCommandsStart,SwapBuffers,FrameCompleted,DequeueBufferDuration,QueueBufferDuration,
0,31942240524560,31942240524560,9223372036854775807,0,31942241147272,31942241185022,31942241189563,31942241287980,31942241466272,31942241627938,31601609574526,31601612716484,31601613777859,493000,575000,
0,31951857204553,31951857204553,9223372036854775807,0,31951857640068,31951857678901,31951857683485,31951857989651,31951859005318,31951859159610,31601627291318,31601630365568,31601635320901,429000,4443000,
0,31951873871977,31951873871977,9223372036854775807,0,31951874314485,31951874350901,31951874355360,31951874453985,31951874961568,31951875099193,31601643863734,31601646787401,31601651437901,563000,4134000,
0,31951890539255,31951890539255,9223372036854775807,0,31951891018526,31951891055693,31951891060068,31951891155318,31951891819068,31951891942568,31601660573901,31601663379943,31601668187901,433000,4299000,
0,31951907206552,31951907206552,9223372036854775807,0,31951907692401,31951907731026,31951907735526,31951907832151,31951908443443,31951908646276,31601676345734,31601679334443,31601684920443,416000,5055000,
0,31951923873813,31951923873813,9223372036854775807,0,31951924426401,31951924464276,31951924468610,31951924568485,31951925097485,31951925229610,31601693498984,31601696635818,31601701347234,504000,4200000,
0,31951940527337,31951940527337,9223372036854775807,0,31951940987943,31951941024026,31951941028568,31951941124110,31951941684568,31951941815235,31601709559609,31601712558818,31601718063401,378000,5008000,
0,31951957190062,31951957190062,9223372036854775807,0,31951958417318,31951958510860,31951958527693,31951958755485,31951961096235,31951961400943,31601726126526,31601729299859,31601734799526,447000,4996000,
0,31951973853929,31951973853929,9223372036854775807,0,31951974727151,31951974784818,31951974793485,31951974939276,31951975714776,31951975923568,31601742674276,31601745707901,31601751385734,450000,5053000,
0,31951990518328,31951990518328,9223372036854775807,0,31951991261693,31951991317985,31951991327568,31951991473276,31951992895110,31951993078068,31601759758609,31601762749276,31601768128234,489000,4767000,
0,31952007182256,31952007182256,9223372036854775807,0,31952007945443,31952008205526,31952008216485,31952008374568,31952009158193,31952009366026,31601777338776,31601780388318,31601784802818,404000,3918000,
